sample,n_matches,p_weighted_covered
ERR1460157,0,0.0
ERR1460189,0,0
ERR1460266,0,0.0
ERR1460334,2,100.0
ERR1460396,1,11.1
ERR1460410,2,88.9
ERR1460436,1,50.0
ERR1460555,1,92.9
ERR1460653,0,0
ERR1460695,1,33.3
ERR1460739,0,0.0
ERR1460796,1,23.1
ERR1460878,0,0.0
ERR1460888,0,0.0
ERR1461009,0,0
ERR1461040,2,47.8
ERR1461106,2,90.9
ERR1461111,2,85.9
ERR1461215,1,71.7
ERR1461225,0,0
ERR1461299,1,65.2
ERR1461571,2,20.0
ERR1461586,2,96.7
ERR1461655,2,65.0
ERR1461707,3,41.7
ERR1461710,1,44.4
ERR1461865,1,9.1
ERR1461879,1,5.6
ERR1461906,2,86.4
ERR1461911,1,13.3
ERR1461997,1,15.4
ERR1462022,0,0.0
ERR1462061,0,0.0
ERR1462072,3,91.2
ERR1462096,2,69.8
ERR1462112,1,99.1
ERR1462227,1,80.0
ERR1462230,1,9.1
ERR1462231,0,0.0
ERR1462250,0,0.0
ERR1464487,0,0
ERR1464651,0,0
ERR1464664,0,0
ERR1464756,0,0.0
ERR1464801,1,80.0
ERR1464841,1,50.0
ERR1465006,0,0.0
ERR1465050,1,80.0
ERR1465082,1,12.5
ERR1465112,0,0.0
ERR1465200,0,0.0
ERR1465268,1,33.3
ERR1465351,1,42.9
ERR1465476,1,100.0
ERR1465536,0,0.0
ERR1465540,0,0.0
ERR1465620,0,0.0
ERR1465633,0,0
ERR1467234,0,0.0
ERR1467260,0,0
ERR1467386,0,0.0
ERR1467468,1,93.3
ERR1467591,0,0
ERR1474289,1,16.7
ERR1474325,1,11.8
ERR1474331,1,4.0
ERR1474439,1,25.0
ERR1511928,1,40.0
ERR1511943,0,0.0
ERR1511948,1,33.3
ERR1511950,1,33.3
ERR1511976,0,0.0
ERR1512022,1,100.0
ERR1512047,0,0.0
ERR1512255,1,27.3
ERR1512271,1,90.0
ERR1512284,1,84.4
ERR1512312,0,0.0
ERR1512340,0,0.0
ERR1513305,1,50.0
ERR1513307,0,0
ERR1513314,1,100.0
ERR1513325,1,100.0
ERR1513348,0,0.0
ERR1513351,0,0.0
ERR1513385,0,0.0
ERR1513389,2,93.3
ERR1513773,0,0
ERR1513776,0,0.0
ERR1513834,0,0.0
ERR1513838,0,0.0
ERR1513894,0,0
ERR1513915,0,0.0
ERR1513954,0,0.0
ERR1513968,0,0
ERR1514014,0,0
ERR1517670,12,84.1
ERR1517685,42,47.3
ERR1517737,0,0.0
ERR1517785,0,0
ERR1517827,0,0.0
ERR1517893,1,100.0
ERR1517956,1,70.0
ERR1517970,0,0.0
ERR1517984,1,100.0
ERR1517990,0,0.0
ERR1518028,1,50.0
ERR1518056,0,0
ERR1518088,0,0.0
ERR1518090,0,0.0
ERR1518100,1,90.0
ERR1518272,2,52.0
ERR1518334,0,0
ERR1518336,0,0
ERR1518421,1,30.0
ERR1518530,1,75.0
ERR1519438,2,50.0
ERR1520010,2,10.8
ERR1520181,1,1.5
ERR1521959,0,0.0
ERR1522034,0,0.0
ERR1522132,2,30.0
ERR1522249,2,90.0
ERR1522262,2,66.7
ERR1522322,1,62.5
ERR1522397,1,40.0
ERR1522419,0,0.0
ERR1522542,2,53.8
